room_number,room_types,room_price,room_img
50125,글램핑펜션3,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/9ee374891f3a4823a9c11f28035964b4.jpg
50125,글램핑펜션4,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/0931fdaadfd54b428a19369215134430.jpg
50125,솔롱고글램핑6,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/dcdcbd415e634cc5b66fea5d70214d25.jpg
50125,독채,350000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/acc9a4c92ab54861a6290427dca69987.jpg
50126, , , 
50127,마카롱, ,//image.goodchoice.kr/resize_370x220/affiliate/2020/01/03/03/cf3c9f366ed74d63bb2d4e1d90393692.jpg
50127,슈크림,79000,//image.goodchoice.kr/resize_370x220/affiliate/2020/01/03/03/7c6766cfff124381bf72419c8ef24e43.jpg
50127,라즈베리,139000,//image.goodchoice.kr/resize_370x220/affiliate/2020/01/03/03/e6d3e6464f4b4ddbada621c1b22a5b1c.jpg
50128, , , 
50129,B202 (복층 스파), ,//image.goodchoice.kr/resize_370x220/affiliate/2020/08/14/5f3647accc09e.jpg
50131,월악, ,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,한라, ,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,능강, ,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,계룡,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,금강,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,소백,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,속리,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,청계,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,태백,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50131,송계,240000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/11/c9307cc39c79413cbf10118a5e6b2122.jpg
50135, , , 
50136,미니(no PC),15000,//image.goodchoice.kr/resize_370x220/adimg_new/50136/138506/6a57a8d22d1da41c32e4f9294c53fe45.jpg
50136,스타일(일반 노하드-옵치/넷플릭스),18000,//image.goodchoice.kr/resize_370x220/adimg_new/50136/138505/6f6b60cf9bf5cb7e8afa4c8cd33b165e.jpg
50136,온돌,18000,//image.goodchoice.kr/resize_370x220/adimg_new/50136/137870/b10644ea01f70c6ea5d68c9e84150ec0.jpg
50136,특실 (넷플릭스),23000,//image.goodchoice.kr/resize_370x220/adimg_new/50136/138501/10da6cb91a34d69c287a230c86fb377a.jpg
50136,커플PC방(고급 노하드-배그/넷플릭스),20000,//image.goodchoice.kr/resize_370x220/adimg_new/50136/138500/3bc989cda97a365d90c0c424ee0c8d7a.jpg
50136,특실(커플PC/고급 노하드-배그/넷플릭스),25000,//image.goodchoice.kr/resize_370x220/adimg_new/50136/138502/e68d1775e5fcf7e91aec10115f87b94a.jpg
50138,오전 무한대실(7시간),35000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/348475/1c9706e6833d6bf4232f4e97fa060a82.jpg
50138,스탠다드,60000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/140160/81fd4a001d69cd8554066ea5769162aa.jpg
50138,슈페리어,70000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/256938/a4d4167ab6492e4c1e6e545a98f0d275.jpg
50138,디럭스 A type(단독주차),88000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/140155/6b16046b914fd738c158ff9928676e63.jpg
50138,디럭스 B type(단독주차),93000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/140158/797e6227277ec515536707995233780f.jpg
50138,1인 출장 스탠다드(1인추가 만원),70000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/348469/bf6a606398cd002c38c71416bf122a6d.jpg
50138,프리미엄 트윈(단독주차),140000,//image.goodchoice.kr/resize_370x220/adimg_new/50138/248163/138e8288c4daccb7a15d6eff7aa7f042.jpg
