roomID,room_name,city,location,latitude,longitude,accomodation_type,min_price,rating,general_review,total_review_num,owner_comment,image_link,img_link_2,img_link_3,img_link_4,img_link_5
50356,화곡 샤르망-강서구청,서울,서울 강서구 화곡동 981-13,37.5497351,126.8483505,기타,17000,9.2,추천해요,335, ,//image.goodchoice.kr/resize_490x348/adimg_new/50356/139725/8dab792db7ef23021cf4ccc8b68d3613.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50356/139725/8dab792db7ef23021cf4ccc8b68d3613.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50356/139725/70e4578f04e782113f5bd0ea5651f45b.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50356/139726/823b735ff355fd3638cef52d51267268.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50356/139727/d3593a1881baca379d924b37e8e6c1c4.jpg
50357,속초 해담은,강원,강원 고성군 토성면 용촌리 7-1,38.2295291,128.5841265,기타,50000,9.4,추천해요,85,"총 12객실의 소규모 모텔 입니다. 저희는 색이 있는 커버가 아닌 백색의 커버 입니다. 온돌방 제외한 침대방은 라텍스 매트리스와 거위털 베게 이불이며, 내집처럼 깨끗 하게 청소 하고 관리하는 곳입니다. 전객실 주차 가능 합니다. 온돌방 2인 외 추가요금은 10,000원 입니다. 애완동물 출입은 안되시며, 또다른 궁굼 하신점은 전화로 문의 주세요. 감사합니다.",//image.goodchoice.kr/resize_490x348/adimg_new/50357/164988/794d1a7554fb26e01c15db61a799f2fc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50357/164988/794d1a7554fb26e01c15db61a799f2fc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50357/252553/e92c789d10a5bfe24d8999f40f39b6cc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50357/164988/53692264951f3bc3435037ff7e710ef2.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50357/140191/9e8cf97021e91eb010df55060ef123f1.jpg
50369,화곡 앤,서울,서울 강서구 화곡동 921-1,37.5300734,126.8412253,기타,20000,9.3,추천해요,1097, ,//image.goodchoice.kr/resize_490x348/adimg_new/50369/141006/bf198702b044dff63c1d2beacc88fdae.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50369/141006/bf198702b044dff63c1d2beacc88fdae.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50369/141007/b9b97d9c534bf4ef6e8080999a3f396d.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50369/141008/378518175a9bd9349afc70f117d225a2.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50369/142610/3882cefb6d9a524347e373feba493883.jpg
50370,수원 나무,경기,경기 수원시 장안구 연무동 12-12,37.2986195,127.0279101,기타,18000,9.0,추천해요,209, ,//image.goodchoice.kr/resize_490x348/adimg_new/50370/139477/ab7618757032588320d27b572771a6f9.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50370/139477/ab7618757032588320d27b572771a6f9.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50370/282114/d54477e8737e1c75a837898a6d3077be.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50370/139475/2149b01d15999b364bb6b882c60ae69a.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50370/139476/1351f87a04a4b3f26cb16fd6683ee2c3.jpg
50373,호텔 엠펠리체,서울,서울 강서구 마곡동 797-10,37.5764888,126.8307466,호텔,65900,9.3,추천해요,784,"5호선 발산역 9번출구에서 도보 3분거리로 편리한 접근성이 있는 신규 호텔입니다 국제공항에서 가깝고 호텔주변에 대형쇼핑몰과 영화관 등의 다양한 편의시설이 있습니다 서울 식물원과 5분거리에 위치해 있으며, 서울 식물원은 5월까지 무료관람 가능합니다",//image.goodchoice.kr/resize_490x348/affiliate/2019/05/07/5cd1459781626.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/05/07/5cd1459781626.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/05/07/5cd1458dcff8d.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/05/07/5cd14591e6f16.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/05/07/5cd145a63e92e.jpg
50374,상상 스파펜션,강원,강원 강릉시 사천면 사천진리 266-5,37.8425088,128.873718,펜션, ,9.0,추천해요,223,2018년 신축 스파펜션으로 전 객실에서 탁 트인 아름다운 바다 전망을 바라볼 수 있습니다 다양한 편의시설이 마련되어 여유롭게 휴식을 취할 수 있는 펜션입니다,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/21/5a8cf2485311e.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/21/5a8cf2485311e.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/09/22/5f698fa577d6c.png,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/21/5a8cf24a3b080.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/21/5a8cd8bd78ba7.jpg
50375,무주 미알레펜션,전북,전북 무주군 무풍면 삼거리 46-40,35.8901458,127.8301322,펜션, , , , ,"파란 하늘 아래 푸른 숲이 자리하고 흰 구름 사이로 햇살이 드리우는 아름다운 펜션입니다 즐겁고 안락한 휴식으로 심신을 재충전하고, 정겨운 추억과 행복한 기억을 가득 담아갈 수 있습니다",//image.goodchoice.kr/resize_490x348/affiliate/2018/01/30/5a703245749e8.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/30/5a703245749e8.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/30/5a703261c00de.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/30/5a70329911791.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/30/5a7032ace08e0.jpg
50376,월평 W,대전,대전 서구 월평동 249,36.3617479,127.3779227,기타,20000,9.3,추천해요,334, ,//image.goodchoice.kr/resize_490x348/adimg_new/50376/175601/a5d69f757335e0cf4642c7fdd1524749.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50376/175601/a5d69f757335e0cf4642c7fdd1524749.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50376/175601/dd7dd5aff426ad158f8acc90f2b4d180.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50376/139430/2cda551a526d37650f83ac8e017f9662.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50376/287560/65e022cf8d12e55381ebb8b6344ae65a.jpg
50377,속초 제임스블루 게스트하우스,강원,강원 속초시 동명동 466-36 　,38.2076708,128.5932909,게스트하우스,35000,8.9,만족해요,18,"속초 볼거리 중심에 위치하여 속초의 다양한 관광지와 교통이 편리한 게스트하우스입니다 숙소 주차장엔 그린카가 있어, 손쉽게 어플로 차를 빌려 여행 다닐 수 있습니다 객실은 청결하여 좋은 휴식처가 되고 1층 쉼터에서는 다트 대회 파티, 미니 오락기, 보드게임 등 즐길 거리가 다양합니다",//image.goodchoice.kr/resize_490x348/adimg_new/50377/0/6feda61349e745e1f6ab79330887fef6.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50377/0/6feda61349e745e1f6ab79330887fef6.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50377/0/176061b93f0a5d77c1ecfc513384a101.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50377/0/8f85b778cd2b920478d07e65a3b232f3.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50377/0/8167db14dbca0246fe8772ef31a3f069.jpg
50378,서울역 원미닛 게스트하우스,서울,서울 중구 남대문로5가 622 　,37.5544309,126.9746859,게스트하우스,24000,8.4,만족해요,17,서울역 10번출구 도보 1분내 위치한 합리적인 가격의 게스트하우스 입니다 지하철과 버스환승센터와 인접하여 서울 관광 최적의 위치를 자랑합니다 서울N타워 및 남대문시장 도보이용가능하며 명동 택시 기본요금입니다 도미토리 가격으로 온전한 내일행과의 여행에 집중해보세요! 각방마다 전용욕실이 있어 개인짐을 들고 다닐 번거로움이 없습니다 :) 간단한 아침식사도 제공되니 마음껏 즐기세요!,//image.goodchoice.kr/resize_490x348/adimg_new/50378/0/2a44f7e13c85bf204575aac3172a6eaa.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50378/0/2a44f7e13c85bf204575aac3172a6eaa.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50378/0/7dcbb57ed0911ddb485ce58021057630.JPG,//image.goodchoice.kr/resize_490x348/adimg_new/50378/0/7f8132f286427f30fecb5d1b4051ffd5.JPG,//image.goodchoice.kr/resize_490x348/adimg_new/50378/0/c1a62ac4eab37d5ad6419123b3327b4c.JPG
