roomID,room_name,location,latitude,longitude,link,image_link
50521,소소모던펜션,전남 구례군 토지면 내서리 635,35.2375429,127.5871577,https://www.goodchoice.kr/product/detail?ano=50521,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/08/5a7be6e8b5f42.jpg
50524,호텔 더 디자이너스 프리미어 건대,서울 광진구 화양동 23-15,37.5473067,127.0674306,https://www.goodchoice.kr/product/detail?ano=50524,//image.goodchoice.kr/resize_490x348/affiliate/2020/08/14/5f363c4a21bd6.jpg
50525,전주 한옥마을 별빛 쉼터,전북 전주시 완산구 교동 211 　,35.8113256,127.1519494,https://www.goodchoice.kr/product/detail?ano=50525,//image.goodchoice.kr/resize_490x348/adimg_new/50525/0/c4447c0b5b87d2bfac4676e2d1baf2e2.JPG
50527,부산 요트스테이,부산 해운대구 우동 1393,35.160915,129.1405557,https://www.goodchoice.kr/product/detail?ano=50527,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/08/5a7bfa04c10b1.jpg
50529,광안리 유토피아 관광호텔,부산 수영구 광안동 50-3,35.1674184,129.117057,https://www.goodchoice.kr/product/detail?ano=50529,//image.goodchoice.kr/resize_490x348/affiliate/2019/05/14/5cda5f0c54aaf.jpg
50531,남해 프랑스리조트,경남 남해군 미조면 송정리 304-6,34.7444205,128.0355281,https://www.goodchoice.kr/product/detail?ano=50531,//image.goodchoice.kr/resize_490x348/affiliate/2019/07/03/08/08ee51065d79866e32dc7dc3dea9ce6f.jpg
50536,곤지암 꿈의궁전,경기 광주시 곤지암읍 곤지암리 435-7,37.3501715,127.3400681,https://www.goodchoice.kr/product/detail?ano=50536,//image.goodchoice.kr/resize_490x348/adimg_new/50536/141761/90ef88a5b48576ad9139ef996515d9bd.jpg
50538,거제 태평양,경남 거제시 장평동 375-6,34.8919073,128.6105179,https://www.goodchoice.kr/product/detail?ano=50538,//image.goodchoice.kr/resize_490x348/adimg_new/50538/353328/da1b8e36b0a0eda99f0d5b5bb55666d6.jpg
50539,더 홍씨호텔 강릉,강원 강릉시 교동 1879-1,37.7653865,128.8763137,https://www.goodchoice.kr/product/detail?ano=50539,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/06/5a7942be93b7a.jpg
50540,거제 프라다,경남 거제시 장평동 233,34.8912935,128.6096031,https://www.goodchoice.kr/product/detail?ano=50540,//image.goodchoice.kr/resize_490x348/adimg_new/50540/141728/31256ffac10154ddef2a4182f959398f.jpg
50541,더포힐스호텔,제주특별자치도 제주시 도두이동 1644-4,33.5091403,126.4733987,https://www.goodchoice.kr/product/detail?ano=50541,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/27/5f97db7603197.jpg
50542,부산 콘트호텔,부산 중구 대청동2가 30-17,35.101901,129.0314284,https://www.goodchoice.kr/product/detail?ano=50542,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/07/5a7a5c519fbb6.jpg
