roomID,room_name,city,location,latitude,longitude,accomodation_type,min_price,rating,general_review,total_review_num,image_link,img_link_2,img_link_3,img_link_4,img_link_5
50190,강릉 K모텔,강원,강원 강릉시 옥천동 274-1,37.759854600000004,128.8979239,모텔,25000,9.4,추천해요,566,//image.goodchoice.kr/resize_490x348/adimg_new/50190/139081/6230a6d4e77e3ade356a07a0ea8a1036.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50190/139081/6230a6d4e77e3ade356a07a0ea8a1036.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50190/139081/75b09c6d4b4ee645edff5f3e98ade8a5.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50190/146604/d4f91d02a078a3cccdaf12aefb014868.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50190/152378/2e71dd2fcc88007a7d3bbc8cad923ccc.jpg
50191,강릉 썸 무인텔,강원,강원 강릉시 옥계면 현내리 240-1,37.613404700000004,129.03959070000002,기타,30000,9.7,최고예요,147,//image.goodchoice.kr/resize_490x348/adimg_new/50191/139086/21867e715cc1038fcbfc3d068eee8b13.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50191/139086/21867e715cc1038fcbfc3d068eee8b13.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50191/139086/695d64fcaaac265b20a811e635988928.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50191/7968/da6b7e00891cbcd28b6ca28dd01306c3.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50191/7968/335cb168c94aeda407012f0a54c952d0.jpg
50192,햇빛여행,경기,경기 가평군 가평읍 승안리 646-18,37.861275,127.47025959999999,기타,60000,7.2,만족해요,4,//image.goodchoice.kr/resize_490x348/affiliate/2020/05/26/03/ssunpension_TbBpRSgn_1_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/05/26/03/ssunpension_TbBpRSgn_1_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/05/26/03/ssunpension_6mph87TM_5_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/05/26/03/ssunpension_grWabteD_3_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/05/26/03/ssunpension_gGTwPjrW_6_r.jpg
50196,수원시청역 블럭24,경기,경기 수원시 권선구 권선동 1013-24,37.2597815,127.0297127,기타,17000,9.5,추천해요,3534,//image.goodchoice.kr/resize_490x348/adimg_new/50196/142718/2ea0dd9a428ca22ceb4d593f12867d08.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50196/142718/2ea0dd9a428ca22ceb4d593f12867d08.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50196/147822/e60f31bb10e1dfe7e20d62e732d23e6d.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50196/141669/dfa271e0960128fddfc67f28a0445cb5.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50196/141670/033cb7364b238c7845b30a8ccfbbebc6.jpg
50200,푸름펜션,강원,강원 홍천군 서면 팔봉리 961-4,37.6913893,127.70757490000001,펜션,120000,9.4,추천해요,54,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/pooreum_AuNzdT7E_C7D1C6E6C1EE7_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/pooreum_AuNzdT7E_C7D1C6E6C1EE7_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/pooreum_qx7hD9X1_C7D1C6E6C1EE1_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/pooreum_vtlD0mFg_C7D1C6E6C1EE3_r_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/599168486_QGOZs2Ey_BFDCBACE4_r_r.jpg
50202,을왕리썸펜션,인천,인천 중구 을왕동 742-13,37.4467299,126.37685570000001,펜션,130000,9.3,추천해요,2,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/some_E1l0kemU_3.JPG,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/04/some_E1l0kemU_3.JPG,//image.goodchoice.kr/resize_490x348/affiliate/2019/03/28/05/some_qkrnEJzX_01B1B3C3BC_GPN_4809_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/03/28/05/some_n5LFYXPG_02B1B3C3BC_GPN_4793_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/03/28/05/some_oqhs7JPl_03B1B3C3BC_GPN_4781_1.jpg
50204,원주 제우스,강원,강원 원주시 단구동 724-98,37.32660320000001,127.95995009999999,기타,20000,8.3,만족해요,104,//image.goodchoice.kr/resize_490x348/adimg_new/50204/138955/3e40a28e191f8d4b5eb5c7ef80ae3fa8.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50204/138955/3e40a28e191f8d4b5eb5c7ef80ae3fa8.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50204/138955/851409154d06dcda7d657c7155539d10.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50204/138956/90609d7a53f3749e2541834dc15a6c93.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50204/139285/39eeb77ca9d2a04c4c52f53dd2f8d85b.jpg
50206,춘천 리오펜션,강원,강원 춘천시 송암동 185,37.8510152,127.68987340000001,펜션,59000,9.6,최고예요,76,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/05/1515998350_rfImg_0.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/05/1515998350_rfImg_0.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/09/22/5f69b06ac885f.png,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/05/1515998727_rfImg_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/18/05/1515998727_rfImg_3.jpg
50207,여수 K-boutique 호텔,전남,전남 여수시 화장동 798-8,34.7775747,127.65027020000001,호텔,30000,9.6,최고예요,663,//image.goodchoice.kr/resize_490x348/adimg_new/50207/172549/0116f812e629ec81d2a42f1a18433614.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50207/172549/0116f812e629ec81d2a42f1a18433614.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50207/143768/8037935a90cd7f926cfd527a20813822.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50207/144656/0faeccbfcab991c7c0e76d71b88c3ce3.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50207/144664/7b98915457f86ec088e47d261a66c5a1.jpg
50209,대구 2월호텔-동성로점,대구,대구 중구 동일동 27,35.869494399999994,128.59278020000002,호텔,30000,9.6,최고예요,209,//image.goodchoice.kr/resize_490x348/adimg_new/50209/272134/5280a1486816e326cf9e8e5405abce90.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50209/272134/5280a1486816e326cf9e8e5405abce90.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50209/277090/b84335c4fa3e4ff83b6b48243e7a1c46.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50209/272132/855be7ec54954bbe83cf5a5bfad14ecc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50209/272134/a0b81e7bfe48b8476da9c8618adc255d.jpg
